customer_id,recency_days,purchase_frequency,avg_order_value,email_open_rate,session_frequency,support_tickets,customer_tier,vip_flag,ltv,churn_label
CUST_00000,103,30,107.49,0.76,66,7,Bronze,0,3224.7,0
CUST_00001,349,16,374.32,0.45,25,0,Silver,0,5989.12,1
CUST_00002,271,33,443.69,0.39,3,6,Gold,0,14641.77,0
CUST_00003,107,2,293.94,0.69,34,2,Silver,0,587.88,0
CUST_00004,72,14,130.96,0.27,71,1,Bronze,1,1833.44,0
CUST_00005,189,46,161.53,0.02,28,4,Bronze,0,7430.38,0
CUST_00006,21,1,444.02,0.21,9,3,Bronze,0,444.02,0
CUST_00007,103,26,156.15,0.18,11,8,Bronze,0,4059.9,0
CUST_00008,122,25,375.63,0.03,93,0,Bronze,0,9390.75,0
CUST_00009,215,16,495.18,0.32,80,2,Bronze,0,7922.88,0
CUST_00010,331,15,499.91,0.47,39,2,Silver,0,7498.65,1
CUST_00011,88,26,271.41,0.74,93,3,Silver,0,7056.66,0
CUST_00012,100,47,415.01,0.33,13,6,Bronze,0,19505.47,0
CUST_00013,360,44,495.22,0.19,99,4,Gold,0,21789.68,1
CUST_00014,152,16,193.59,0.23,11,9,Silver,0,3097.44,1
CUST_00015,131,14,133.68,0.89,35,5,Bronze,0,1871.52,0
CUST_00016,150,29,65.97,0.2,8,2,Silver,0,1913.13,0
CUST_00017,309,24,79.04,0.88,7,4,Bronze,1,1896.96,0
CUST_00018,258,47,428.24,0.45,69,1,Bronze,0,20127.28,0
CUST_00019,344,15,298.47,0.93,70,3,Gold,0,4477.05,0
CUST_00020,294,19,438.12,0.41,57,2,Gold,1,8324.28,0
CUST_00021,192,8,396.83,0.18,35,2,Silver,1,3174.64,0
CUST_00022,277,34,340.13,0.55,94,3,Bronze,0,11564.42,0
CUST_00023,161,2,308.56,0.59,11,7,Bronze,0,617.12,0
CUST_00024,314,27,33.69,0.64,38,7,Bronze,1,909.63,0
CUST_00025,22,10,437.41,0.41,91,0,Bronze,0,4374.1,0
CUST_00026,253,35,214.74,0.05,85,4,Bronze,0,7515.9,1
CUST_00027,236,23,284.3,0.63,78,1,Bronze,0,6538.9,0
CUST_00028,345,49,20.76,0.93,49,9,Bronze,0,1017.24,0
CUST_00029,49,8,468.68,0.96,35,5,Gold,0,3749.44,0
CUST_00030,59,28,452.34,0.6,29,2,Bronze,0,12665.52,0
CUST_00031,170,23,276.21,0.02,88,9,Bronze,0,6352.83,1
CUST_00032,188,4,292.88,0.11,41,9,Bronze,0,1171.52,1
CUST_00033,271,14,355.46,0.83,96,8,Silver,0,4976.44,0
CUST_00034,190,42,139.7,0.83,6,8,Bronze,1,5867.4,0
CUST_00035,175,29,118.74,0.95,10,7,Bronze,0,3443.46,0
CUST_00036,51,1,340.27,0.56,84,1,Bronze,0,340.27,0
CUST_00037,364,4,61.17,0.86,84,1,Bronze,0,244.68,1
CUST_00038,55,32,232.49,0.82,90,1,Bronze,0,7439.68,0
CUST_00039,244,33,251.45,0.59,85,4,Bronze,0,8297.85,0
CUST_00040,320,49,196.86,0.78,23,9,Bronze,0,9646.14,0
CUST_00041,131,26,100.78,0.13,46,8,Silver,0,2620.28,0
CUST_00042,307,17,184.1,0.64,12,6,Bronze,0,3129.7,1
CUST_00043,135,39,175.4,0.95,55,6,Bronze,0,6840.6,0
CUST_00044,21,23,254.64,0.16,13,2,Bronze,0,5856.72,0
CUST_00045,329,32,340.59,0.74,74,2,Bronze,1,10898.88,0
CUST_00046,167,15,484.44,0.32,7,9,Silver,0,7266.6,1
CUST_00047,274,13,80.64,0.82,12,2,Bronze,0,1048.32,0
CUST_00048,89,2,437.78,0.7,61,0,Bronze,0,875.56,0
CUST_00049,316,19,149.25,0.93,25,7,Bronze,0,2835.75,0
CUST_00050,14,24,299.77,0.71,2,1,Bronze,0,7194.48,0
CUST_00051,242,45,277.9,0.41,26,6,Silver,0,12505.5,0
CUST_00052,265,24,282.9,0.01,51,8,Silver,0,6789.6,1
CUST_00053,346,11,364.45,0.79,69,1,Bronze,0,4008.95,1
CUST_00054,53,22,197.03,0.41,62,0,Gold,0,4334.66,0
CUST_00055,340,15,166.36,0.67,72,4,Bronze,0,2495.4,1
CUST_00056,92,10,427.89,0.11,73,9,Bronze,0,4278.9,1
CUST_00057,264,41,117.85,0.89,39,4,Bronze,0,4831.85,0
CUST_00058,35,27,98.32,0.44,84,0,Bronze,0,2654.64,0
CUST_00059,206,9,17.65,0.92,11,8,Bronze,0,158.85,0
CUST_00060,81,28,113.18,0.71,64,2,Bronze,1,3169.04,0
CUST_00061,50,1,264.08,0.12,86,1,Silver,0,264.08,0
CUST_00062,360,17,273.87,0.58,80,6,Bronze,0,4655.79,1
CUST_00063,2,31,134.67,0.91,42,4,Bronze,0,4174.77,0
CUST_00064,54,44,45.41,0.8,10,3,Silver,0,1998.04,0
CUST_00065,106,10,374.87,0.42,89,3,Silver,0,3748.7,0
CUST_00066,260,37,381.41,0.96,19,8,Bronze,0,14112.17,0
CUST_00067,310,29,498.94,0.27,4,8,Bronze,0,14469.26,1
CUST_00068,191,18,451.01,0.38,83,0,Bronze,0,8118.18,0
CUST_00069,218,47,463.77,0.75,3,9,Bronze,0,21797.19,0
CUST_00070,44,38,401.12,0.23,81,6,Bronze,0,15242.56,0
CUST_00071,162,39,311.6,0.52,14,7,Bronze,0,12152.4,0
CUST_00072,202,49,72.99,0.73,10,4,Bronze,0,3576.51,0
CUST_00073,270,6,314.93,0.64,6,6,Silver,0,1889.58,1
CUST_00074,351,40,37.42,0.16,31,7,Bronze,1,1496.8,0
CUST_00075,304,12,443.8,0.63,31,7,Bronze,0,5325.6,1
CUST_00076,271,14,246.09,0.57,48,8,Bronze,0,3445.26,1
CUST_00077,215,44,351.76,0.56,9,4,Bronze,0,15477.44,0
CUST_00078,252,10,35.6,0.83,76,1,Bronze,0,356.0,0
CUST_00079,190,20,271.78,0.18,26,5,Bronze,0,5435.6,1
CUST_00080,296,15,157.62,0.75,2,0,Bronze,0,2364.3,0
CUST_00081,213,31,149.63,0.76,4,9,Gold,0,4638.53,0
CUST_00082,208,7,200.93,0.72,96,5,Silver,0,1406.51,0
CUST_00083,237,41,10.31,0.51,92,2,Bronze,0,422.71,0
CUST_00084,338,10,238.66,0.4,6,2,Bronze,0,2386.6,1
CUST_00085,53,10,248.42,0.39,30,6,Bronze,0,2484.2,0
CUST_00086,280,48,432.93,0.73,55,3,Bronze,0,20780.64,0
CUST_00087,217,39,229.78,0.5,28,4,Bronze,1,8961.42,0
CUST_00088,252,28,188.14,0.34,61,5,Bronze,0,5267.92,0
CUST_00089,188,30,497.43,0.63,77,9,Bronze,0,14922.9,0
CUST_00090,41,37,289.89,0.84,55,5,Silver,0,10725.93,0
CUST_00091,157,3,241.58,0.06,36,1,Silver,0,724.74,1
CUST_00092,15,43,253.01,0.97,74,2,Silver,0,10879.43,0
CUST_00093,301,15,406.5,0.1,74,0,Bronze,0,6097.5,1
CUST_00094,65,21,176.93,0.51,5,2,Bronze,0,3715.53,0
CUST_00095,345,37,200.69,0.56,29,7,Gold,0,7425.53,1
CUST_00096,327,12,380.38,0.14,12,3,Silver,0,4564.56,1
CUST_00097,9,4,45.76,0.92,22,1,Bronze,0,183.04,0
CUST_00098,344,47,433.93,0.47,59,3,Silver,0,20394.71,0
CUST_00099,129,9,220.8,0.14,39,6,Silver,0,1987.2,1
CUST_00100,136,39,294.83,0.71,2,8,Bronze,0,11498.37,0
CUST_00101,63,42,381.16,0.66,14,4,Bronze,0,16008.72,0
CUST_00102,139,28,140.37,0.96,10,4,Bronze,1,3930.36,0
CUST_00103,81,23,446.25,0.44,48,4,Silver,0,10263.75,0
CUST_00104,163,45,489.82,0.27,64,9,Bronze,0,22041.9,0
CUST_00105,289,40,252.19,0.06,3,8,Bronze,0,10087.6,1
CUST_00106,261,44,469.1,0.73,72,6,Gold,1,20640.4,0
CUST_00107,231,22,10.55,0.62,60,2,Silver,0,232.1,0
CUST_00108,41,24,448.18,0.97,81,1,Bronze,0,10756.32,0
CUST_00109,28,26,162.41,0.71,68,8,Bronze,0,4222.66,0
CUST_00110,135,30,162.63,0.93,21,2,Bronze,0,4878.9,0
CUST_00111,201,33,121.76,0.99,94,7,Silver,0,4018.08,0
CUST_00112,328,16,165.34,0.43,19,3,Silver,0,2645.44,1
CUST_00113,268,22,114.61,0.15,79,4,Silver,0,2521.42,1
CUST_00114,33,49,453.88,0.2,20,7,Bronze,0,22240.12,0
CUST_00115,48,43,450.52,0.32,58,4,Bronze,0,19372.36,0
CUST_00116,62,18,60.08,0.51,42,9,Silver,0,1081.44,0
CUST_00117,216,7,80.0,0.12,94,1,Silver,0,560.0,1
CUST_00118,293,26,432.39,0.3,10,5,Bronze,0,11242.14,1
CUST_00119,99,8,205.48,0.31,23,6,Silver,0,1643.84,0
CUST_00120,172,6,92.94,0.0,88,0,Bronze,0,557.64,1
CUST_00121,360,30,260.23,0.35,12,9,Bronze,1,7806.9,0
CUST_00122,214,39,214.17,0.12,9,8,Bronze,1,8352.63,0
CUST_00123,35,23,117.39,0.43,79,5,Gold,0,2699.97,0
CUST_00124,227,32,363.17,0.2,29,3,Silver,0,11621.44,0
CUST_00125,101,22,319.33,0.82,82,1,Bronze,1,7025.26,0
CUST_00126,131,42,58.83,0.08,20,8,Bronze,0,2470.86,0
CUST_00127,257,43,463.44,0.87,65,5,Bronze,0,19927.92,0
CUST_00128,5,45,283.65,0.58,3,8,Bronze,0,12764.25,0
CUST_00129,218,9,132.6,0.46,8,1,Bronze,0,1193.4,0
CUST_00130,255,31,111.08,0.55,39,4,Gold,1,3443.48,0
CUST_00131,359,7,76.61,0.38,64,5,Gold,0,536.27,1
CUST_00132,283,9,218.07,0.13,31,4,Bronze,0,1962.63,1
CUST_00133,207,13,76.42,0.77,72,5,Bronze,0,993.46,0
CUST_00134,15,3,213.75,0.93,79,2,Silver,0,641.25,0
CUST_00135,346,35,82.9,0.95,22,8,Bronze,0,2901.5,0
CUST_00136,42,33,331.84,0.67,96,1,Silver,0,10950.72,0
CUST_00137,179,21,394.77,0.41,5,1,Silver,0,8290.17,0
CUST_00138,63,31,279.27,0.48,58,4,Bronze,1,8657.37,0
CUST_00139,352,34,343.23,0.66,73,9,Gold,0,11669.82,1
CUST_00140,231,32,469.81,0.82,79,2,Bronze,0,15033.92,0
CUST_00141,241,35,322.8,0.37,63,1,Bronze,0,11298.0,0
CUST_00142,52,15,188.44,0.92,61,5,Bronze,0,2826.6,0
CUST_00143,96,32,230.25,0.32,52,5,Gold,0,7368.0,0
CUST_00144,222,6,431.66,0.53,33,6,Bronze,0,2589.96,1
CUST_00145,231,45,74.05,0.96,22,3,Gold,1,3332.25,0
CUST_00146,237,21,169.61,0.94,51,7,Gold,0,3561.81,0
CUST_00147,143,33,292.87,0.7,11,2,Silver,0,9664.71,0
CUST_00148,171,32,341.43,0.32,58,9,Bronze,0,10925.76,0
CUST_00149,29,19,384.11,0.22,50,0,Bronze,0,7298.09,0
CUST_00150,36,33,165.92,0.08,70,4,Gold,0,5475.36,0
CUST_00151,13,28,81.47,0.71,17,5,Gold,0,2281.16,0
CUST_00152,160,31,477.87,0.5,46,2,Silver,0,14813.97,0
CUST_00153,327,21,47.43,0.57,44,1,Bronze,0,996.03,0
CUST_00154,187,34,56.94,0.47,57,2,Bronze,0,1935.96,0
CUST_00155,243,15,252.52,0.48,5,2,Silver,1,3787.8,0
CUST_00156,86,14,411.44,0.57,39,6,Silver,0,5760.16,0
CUST_00157,284,19,389.51,0.91,58,0,Bronze,1,7400.69,0
CUST_00158,66,43,469.47,0.03,9,3,Bronze,1,20187.21,0
CUST_00159,170,15,79.39,0.8,93,2,Bronze,0,1190.85,0
CUST_00160,45,6,194.11,0.39,23,9,Silver,0,1164.66,0
CUST_00161,62,9,148.25,0.74,47,6,Silver,0,1334.25,0
CUST_00162,134,37,431.83,0.95,36,0,Bronze,0,15977.71,0
CUST_00163,284,20,249.29,0.31,31,7,Silver,0,4985.8,1
CUST_00164,28,34,23.16,0.09,84,9,Gold,0,787.44,0
CUST_00165,108,38,356.9,0.23,23,6,Bronze,0,13562.2,0
CUST_00166,44,26,200.46,0.22,56,7,Bronze,1,5211.96,0
CUST_00167,340,18,270.26,0.74,71,7,Bronze,0,4864.68,1
CUST_00168,286,28,447.96,0.06,46,8,Silver,0,12542.88,1
CUST_00169,331,9,135.8,0.05,58,0,Gold,0,1222.2,1
CUST_00170,128,32,127.73,0.69,36,8,Bronze,1,4087.36,0
CUST_00171,348,6,138.96,0.56,68,0,Bronze,0,833.76,1
CUST_00172,231,14,175.67,0.42,88,2,Bronze,0,2459.38,0
CUST_00173,190,28,62.6,0.58,60,6,Silver,1,1752.8,0
CUST_00174,225,24,351.64,0.74,14,7,Silver,1,8439.36,0
CUST_00175,283,13,111.63,0.1,25,4,Bronze,0,1451.19,1
CUST_00176,121,43,463.81,0.55,71,0,Silver,1,19943.83,0
CUST_00177,116,12,115.69,0.82,79,2,Gold,0,1388.28,0
CUST_00178,233,19,135.26,0.36,44,6,Bronze,0,2569.94,1
CUST_00179,259,21,155.54,0.76,46,1,Bronze,0,3266.34,0
CUST_00180,359,27,386.58,0.85,13,1,Bronze,0,10437.66,0
CUST_00181,198,19,219.53,0.82,62,8,Bronze,0,4171.07,0
CUST_00182,137,24,411.47,0.65,19,5,Bronze,0,9875.28,0
CUST_00183,318,26,394.58,0.72,12,3,Bronze,1,10259.08,0
CUST_00184,165,45,465.45,0.79,90,9,Bronze,0,20945.25,0
CUST_00185,225,28,380.74,0.73,48,8,Bronze,0,10660.72,0
CUST_00186,307,46,35.44,0.45,33,6,Bronze,0,1630.24,0
CUST_00187,234,18,420.27,0.16,79,6,Bronze,0,7564.86,1
CUST_00188,172,44,469.66,0.31,37,7,Silver,0,20665.04,0
CUST_00189,152,36,496.91,0.21,6,2,Bronze,0,17888.76,0
CUST_00190,315,42,71.38,0.36,89,1,Bronze,1,2997.96,0
CUST_00191,160,29,310.5,0.49,81,0,Bronze,0,9004.5,0
CUST_00192,96,17,107.73,0.96,43,1,Bronze,0,1831.41,0
CUST_00193,233,4,138.63,0.96,50,2,Bronze,0,554.52,0
CUST_00194,180,44,375.34,0.77,46,4,Bronze,0,16514.96,0
CUST_00195,113,45,489.06,0.98,73,7,Bronze,0,22007.7,0
CUST_00196,318,29,301.48,1.0,28,2,Bronze,0,8742.92,0
CUST_00197,52,4,426.79,0.89,99,6,Silver,1,1707.16,0
CUST_00198,268,10,14.35,0.08,67,4,Bronze,0,143.5,1
CUST_00199,295,25,27.95,0.43,11,4,Bronze,0,698.75,1
CUST_00200,113,31,302.39,0.53,20,7,Bronze,0,9374.09,0
CUST_00201,101,3,200.6,0.12,87,9,Silver,0,601.8,1
CUST_00202,113,47,445.98,0.81,30,4,Bronze,1,20961.06,0
CUST_00203,81,2,157.97,0.15,36,9,Silver,0,315.94,1
CUST_00204,187,25,221.71,0.38,76,6,Bronze,0,5542.75,0
